PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 19:26:19.397459+00:00","Published","amd64","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",5,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 19:26:19.397459+00:00","Published","arm64","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",5,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 19:26:19.397459+00:00","Published","armhf","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",5,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 19:26:19.397459+00:00","Published","i386","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",5,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 19:26:19.397459+00:00","Published","ppc64el","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",5,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 19:26:19.397459+00:00","Published","riscv64","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",5,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 19:26:19.397459+00:00","Published","s390x","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",5,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 20:31:44.990051+00:00","Published","amd64","focal","kicad-nightly-symbols","202201022016+e3b198d8~10~ubuntu20.04.1",1,"202201022016"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 20:31:44.990051+00:00","Published","arm64","focal","kicad-nightly-symbols","202201022016+e3b198d8~10~ubuntu20.04.1",1,"202201022016"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 20:31:44.990051+00:00","Published","armhf","focal","kicad-nightly-symbols","202201022016+e3b198d8~10~ubuntu20.04.1",1,"202201022016"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 20:31:44.990051+00:00","Published","i386","focal","kicad-nightly-symbols","202201022016+e3b198d8~10~ubuntu20.04.1",1,"202201022016"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 20:31:44.990051+00:00","Published","ppc64el","focal","kicad-nightly-symbols","202201022016+e3b198d8~10~ubuntu20.04.1",1,"202201022016"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 20:31:44.990051+00:00","Published","riscv64","focal","kicad-nightly-symbols","202201022016+e3b198d8~10~ubuntu20.04.1",1,"202201022016"
"js-reynaud/kicad-dev-nightly","2022-01-02","2022-01-02 20:31:44.990051+00:00","Published","s390x","focal","kicad-nightly-symbols","202201022016+e3b198d8~10~ubuntu20.04.1",1,"202201022016"
"js-reynaud/kicad-dev-nightly","2022-01-03","2022-01-02 19:26:19.397459+00:00","Published","amd64","bionic","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu18.04.1",3,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-03","2022-01-02 19:26:19.397459+00:00","Published","amd64","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",4,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-03","2022-01-02 19:26:19.397459+00:00","Published","arm64","bionic","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu18.04.1",3,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-03","2022-01-02 19:26:19.397459+00:00","Published","arm64","focal","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu20.04.1",4,"202201021902"
"js-reynaud/kicad-dev-nightly","2022-01-03","2022-01-02 19:26:19.397459+00:00","Published","armhf","bionic","kicad-nightly-footprints","202201021902+fe8748b8d~14~ubuntu18.04.1",3,"202201021902"
