PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","amd64","focal","kicad","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","amd64","focal","kicad-demos","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","arm64","focal","kicad-demos","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","armhf","focal","kicad-demos","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","i386","focal","kicad-demos","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","ppc64el","focal","kicad-demos","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","riscv64","focal","kicad-demos","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"js-reynaud/ppa-kicad","2022-02-01","2022-01-31 16:27:47.028751+00:00","Published","s390x","focal","kicad-demos","202201311518+419010ec46~116~ubuntu20.04.1",3,"202201311518"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","amd64","focal","kicad-nightly","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","amd64","focal","kicad-nightly-demos","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","arm64","focal","kicad-nightly-demos","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","armhf","focal","kicad-nightly-demos","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","i386","focal","kicad-nightly-demos","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","ppc64el","focal","kicad-nightly-demos","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","riscv64","focal","kicad-nightly-demos","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-01-31 02:46:20.966796+00:00","Superseded","s390x","focal","kicad-nightly-demos","202201310117+419010ec46~146~ubuntu20.04.1",1,"202201310117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","amd64","focal","kicad-nightly","202202010117+25a7de730c~146~ubuntu20.04.1",14,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","amd64","focal","kicad-nightly-dbg","202202010117+25a7de730c~146~ubuntu20.04.1",3,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","amd64","focal","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu20.04.1",15,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","amd64","impish","kicad-nightly","202202010117+25a7de730c~146~ubuntu21.10.1",8,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","amd64","impish","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu21.10.1",7,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","arm64","focal","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu20.04.1",15,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","arm64","impish","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu21.10.1",7,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","armhf","focal","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu20.04.1",15,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","armhf","impish","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu21.10.1",7,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","i386","focal","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu20.04.1",15,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","i386","impish","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu21.10.1",7,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","ppc64el","focal","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu20.04.1",15,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","ppc64el","impish","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu21.10.1",7,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","riscv64","focal","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu20.04.1",15,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","riscv64","impish","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu21.10.1",7,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","s390x","focal","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu20.04.1",15,"202202010117"
"kicad/kicad-dev-nightly","2022-02-01","2022-02-01 02:35:09.515823+00:00","Published","s390x","impish","kicad-nightly-demos","202202010117+25a7de730c~146~ubuntu21.10.1",7,"202202010117"
